"FIPS","GeoLevel","NAME","Qualified Area Name","Area (Land)","Area (Water)","Median Household Income (In 2024 Inflation Adjusted Dollars)"
Geo__geoid_,Geo__geo_level_,Geo_NAME,Geo_qname,Geo_AREALAND,Geo_AREAWATER,SE_A14006_001
"0600135","SL160","Acalanes Ridge CDP, California","Acalanes Ridge CDP, California",1193569,0,181094
"0600156","SL160","Acampo CDP, California","Acampo CDP, California",2428474,0,
"0600212","SL160","Acton CDP, California","Acton CDP, California",101679451,60418,113000
"0600296","SL160","Adelanto city, California","Adelanto city, California",136923866,41151,68685
"0600310","SL160","Adin CDP, California","Adin CDP, California",7587701,15858,29375
"0600394","SL160","Agoura Hills city, California","Agoura Hills city, California",20189517,55687,171302
"0600450","SL160","Agua Dulce CDP, California","Agua Dulce CDP, California",59181047,14646,146107
"0600464","SL160","Aguanga CDP, California","Aguanga CDP, California",35222110,0,79808
"0600478","SL160","Ahwahnee CDP, California","Ahwahnee CDP, California",29896182,0,77391
"0600535","SL160","Airport CDP, California","Airport CDP, California",451729,0,32159
"0600562","SL160","Alameda city, California","Alameda city, California",27061952,32453610,137697
"0600618","SL160","Alamo CDP, California","Alamo CDP, California",25422415,0,250001
"0600674","SL160","Albany city, California","Albany city, California",4636032,9521771,144107
"0600716","SL160","Albion CDP, California","Albion CDP, California",4701873,96897,
"0600786","SL160","Alderpoint CDP, California","Alderpoint CDP, California",6288254,0,
"0600884","SL160","Alhambra city, California","Alhambra city, California",19764463,1730,88024
"0600898","SL160","Alhambra Valley CDP, California","Alhambra Valley CDP, California",4181518,0,206063
"0600947","SL160","Aliso Viejo city, California","Aliso Viejo city, California",17937313,0,142439
"0600982","SL160","Alleghany CDP, California","Alleghany CDP, California",904298,0,
"0600996","SL160","Allendale CDP, California","Allendale CDP, California",15892908,164542,107679
"0601010","SL160","Allensworth CDP, California","Allensworth CDP, California",8035085,0,55714
"0601094","SL160","Almanor CDP, California","Almanor CDP, California",2287751,0,
"0601150","SL160","Alondra Park CDP, California","Alondra Park CDP, California",2861316,93791,87169
"0601164","SL160","Alpaugh CDP, California","Alpaugh CDP, California",1082836,0,37000
"0601192","SL160","Alpine CDP, California","Alpine CDP, California",69374324,1475,108660
