"FIPS","GeoLevel","NAME","Qualified Area Name","Area (Land)","Area (Water)","Total Population","Population Density (Per Sq. Mile)","Area (Land)"
Geo__geoid_,Geo__geo_level_,Geo_NAME,Geo_qname,Geo_AREALAND,Geo_AREAWATER,SE_A00002_001,SE_A00002_002,SE_A00002_003
"06001","SL050","Alameda County, California","Alameda County, California",1910010500,216909647,1649473,2236.6972114785212,737.459228515625
"06003","SL050","Alpine County, California","Alpine County, California",1912292607,12557304,1616,2.18869257156008,738.34033203125
"06005","SL050","Amador County, California","Amador County, California",1539967082,29437117,41428,69.67552828440694,594.5846557617188
"06007","SL050","Butte County, California","Butte County, California",4238545149,105204062,207929,127.05624325037584,1636.511474609375
"06009","SL050","Calaveras County, California","Calaveras County, California",2641829625,43797225,46248,45.34045749911216,1020.0161743164062
"06011","SL050","Colusa County, California","Colusa County, California",2980245451,14696164,21984,19.105236005607676,1150.6793212890625
"06013","SL050","Contra Costa County, California","Contra Costa County, California",1856755871,225361409,1165012,1625.0748028546402,716.8974609375
"06015","SL050","Del Norte County, California","Del Norte County, California",2606049835,578810831,27107,26.939932626069837,1006.2014770507812
"06017","SL050","El Dorado County, California","El Dorado County, California",4423288023,203364019,192662,112.81026320894392,1707.841064453125
"06019","SL050","Fresno County, California","Fresno County, California",15432656110,136636505,1016725,170.63203874138995,5958.58203125
"06021","SL050","Glenn County, California","Glenn County, California",3403182198,33671442,28494,21.68532837561481,1313.9759521484375
"06023","SL050","Humboldt County, California","Humboldt County, California",9241138639,1254152624,134541,37.70743167939182,3568.0234375
"06025","SL050","Imperial County, California","Imperial County, California",10814568237,790135127,180202,43.15669447705088,4175.5283203125
"06027","SL050","Inyo County, California","Inyo County, California",26410783052,77280938,18739,1.8376503723665831,10197.2607421875
"06029","SL050","Kern County, California","Kern County, California",21068706348,78331375,915075,112.49068791956884,8134.67333984375
"06031","SL050","Kings County, California","Kings County, California",3602601926,3164290,153298,110.20923108570314,1390.972412109375
"06033","SL050","Lake County, California","Lake County, California",3250693464,189054363,68152,54.30006739107452,1255.0997314453125
"06035","SL050","Lassen County, California","Lassen County, California",11762090640,462950977,30356,6.684327800717449,4541.369140625
"06037","SL050","Los Angeles County, California","Los Angeles County, California",10516008433,1784982940,9808667,2415.777044011959,4060.25341796875
"06039","SL050","Madera County, California","Madera County, California",5534050367,42266781,160940,75.32144974627967,2136.708740234375
"06041","SL050","Marin County, California","Marin County, California",1347158037,797809454,257969,495.9601069422331,520.140625
"06043","SL050","Mariposa County, California","Mariposa County, California",3752476985,36220865,17082,11.79012600416905,1448.8394775390625
"06045","SL050","Mendocino County, California","Mendocino County, California",9082587618,961785254,90244,25.73395377850553,3506.806640625
"06047","SL050","Merced County, California","Merced County, California",5019407136,105277636,290201,149.74219737429715,1938.004150390625
"06049","SL050","Modoc County, California","Modoc County, California",10225876984,660504011,8600,2.1781893652496382,3948.2333984375
"06051","SL050","Mono County, California","Mono County, California",7896625264,214695142,13148,4.312369222707538,3048.904052734375
"06053","SL050","Monterey County, California","Monterey County, California",8499610241,1267806311,437613,133.3487513722931,3281.718017578125
"06055","SL050","Napa County, California","Napa County, California",1947606941,104444154,134869,179.35297003830163,751.9752807617188
"06057","SL050","Nevada County, California","Nevada County, California",2480587300,41531993,102481,107.00069526130036,957.7601318359376
"06059","SL050","Orange County, California","Orange County, California",2053515921,406239359,3165820,3992.876770201101,792.866943359375
"06061","SL050","Placer County, California","Placer County, California",3644303250,246469597,419156,297.8920462028052,1407.073486328125
"06063","SL050","Plumas County, California","Plumas County, California",6612400771,156387638,19423,7.607726742825592,2553.062255859375
"06065","SL050","Riverside County, California","Riverside County, California",18671882474,242861394,2478600,343.8080922598876,7209.25439453125
"06067","SL050","Sacramento County, California","Sacramento County, California",2500063005,75323439,1594006,1651.3410156329285,965.2797241210938
"06069","SL050","San Benito County, California","San Benito County, California",3596591087,4719300,67290,48.45707839970239,1388.651611328125
"06071","SL050","San Bernardino County, California","San Bernardino County, California",51976311347,96418184,2197104,109.48205223583176,20068.166015625
"06073","SL050","San Diego County, California","San Diego County, California",10905046431,816535836,3288774,781.0957721802068,4210.4619140625
"06075","SL050","San Francisco County, California","San Francisco County, California",120913549,479701988,830235,17783.768810891874,46.68498611450195
"06077","SL050","San Joaquin County, California","San Joaquin County, California",3605878834,89000661,797334,572.6996307214307,1392.2376708984375
"06079","SL050","San Luis Obispo County, California","San Luis Obispo County, California",8549140866,815650229,281555,85.29793201293852,3300.842041015625
"06081","SL050","San Mateo County, California","San Mateo County, California",1161921071,757163219,742340,1654.718033292727,448.6202392578125
"06083","SL050","Santa Barbara County, California","Santa Barbara County, California",7080874935,2729198796,443701,162.29354389531267,2733.941162109375
"06085","SL050","Santa Clara County, California","Santa Clara County, California",3343891499,33597067,1902047,1473.2173760121204,1291.083740234375
"06087","SL050","Santa Cruz County, California","Santa Cruz County, California",1152818088,419720203,264926,595.1981364146812,445.1055603027344
"06089","SL050","Shasta County, California","Shasta County, California",9778891285,185818274,181436,48.054224915144246,3775.6513671875
"06091","SL050","Sierra County, California","Sierra County, California",2468694578,23299110,2746,2.880918195958047,953.1683349609376
"06093","SL050","Siskiyou County, California","Siskiyou County, California",16261931188,179151859,43466,6.922696666087302,6278.76708984375
"06095","SL050","Solano County, California","Solano County, California",2128287413,218614922,451918,549.9549563113254,821.7363891601562
"06097","SL050","Sonoma County, California","Sonoma County, California",4080103615,497291856,485040,307.89604158336664,1575.3369140625
"06099","SL050","Stanislaus County, California","Stanislaus County, California",3875010967,46378776,553990,370.2770081610827,1496.150146484375
"06101","SL050","Sutter County, California","Sutter County, California",1560975500,14811541,98857,164.02463701717906,602.696044921875
"06103","SL050","Tehama County, California","Tehama County, California",7638229378,33767224,65167,22.096973053474574,2949.136962890625
"06105","SL050","Trinity County, California","Trinity County, California",8234265080,73407950,15860,4.988570357878959,3179.267578125
"06107","SL050","Tulare County, California","Tulare County, California",12493843650,37260863,478693,99.23360967076064,4823.89990234375
"06109","SL050","Tuolumne County, California","Tuolumne County, California",5752135140,138666931,54498,24.53856942866518,2220.911865234375
"06111","SL050","Ventura County, California","Ventura County, California",4767597024,947364179,837469,454.95344843844686,1840.779541015625
"06113","SL050","Yolo County, California","Yolo County, California",2623627933,22888380,220564,217.73594444665036,1012.9884643554688
"06115","SL050","Yuba County, California","Yuba County, California",1636887863,31084093,84507,133.71235501268254,632.0059204101562
