FIPS,GeoLevel,NAME,Qualified Area Name,"SE Murder Index (100=Median, 0-200)",Total Population,"SE Robbery Index (100=Median, 0-200)",Total Population,"SE Burglary Index (100=Median, 0-200)",Total Population,"SE Violent Crime Index (100=Median, 0-200)",Total Population,"SE Property Crime Index (100=Median, 0-200)",Total Population,"SE Total Crime Index (100=Median, 0-200)",Total Population,"SE Felonious Assault Index (100=Median, 0-200)",SE Felonious Assault Index: Total Population,"SE Rape and Sexual Assault Index (100=Median, 0-200)",Total Population
Geo_FIPS,_geo_level_,Geo_NAME,Geo_qname,ORG_se_MURD_index,ORG_total_population_murd,ORG_se_ROB_index,ORG_total_population_rob,ORG_se_BURG_index,ORG_total_population_burg,ORG_se_vc_index,ORG_total_population_vc,ORG_se_pc_index,ORG_total_population_pc,ORG_se_tc_index,ORG_total_population_tc,ORG_se_FA_index,ORG_total_population_fa,ORG_se_RSA_index,ORG_total_population_rsa
6001,SL050,Alameda County,"Alameda County, California",190.6598447,1651949,184.3778139,1651949,167.2476037,1651949,176.3809317,1651949,168.9029381,1651949,169.5894369,1651949,153.4742618,1651949,121.288216,1651949
6003,SL050,Alpine County,"Alpine County, California",44.48165883,1695,22.93887959,1695,90.26979492,1695,154.022115,1695,108.0120764,1695,113.5834071,1695,174.9173196,1695,186.3356363,1695
6005,SL050,Amador County,"Amador County, California",44.48165883,41029,105.2814501,41029,67.00103508,41029,116.6279711,41029,73.01692028,41029,76.3249762,41029,136.1050568,41029,133.6705069,41029
6007,SL050,Butte County,"Butte County, California",142.8591866,209470,150.62652,209470,130.7949946,209470,160.4870634,209470,128.6433714,209470,132.3564783,209470,164.3973374,209470,182.7974182,209470
6009,SL050,Calaveras County,"Calaveras County, California",122.7996062,45995,115.5136286,45995,120.7058764,45995,130.2961466,45995,96.87567856,45995,99.28260034,45995,144.8721293,45995,154.1929295,45995
6011,SL050,Colusa County,"Colusa County, California",149.4189227,21895,132.111991,21895,95.40019019,21895,135.7881374,21895,81.43446525,21895,87.12021246,21895,146.034284,21895,140.3345928,21895
6013,SL050,Contra Costa County,"Contra Costa County, California",135.2298643,1161458,165.1606062,1161458,133.4559164,1161458,149.0562729,1161458,141.5757738,1161458,141.4713792,1161458,134.7047488,1161458,98.42381197,1161458
6015,SL050,Del Norte County,"Del Norte County, California",44.48165883,27293,134.4893168,27293,99.13574741,27293,127.0532329,27293,114.2937079,27293,114.1859727,27293,136.5115164,27293,109.0708653,27293
6017,SL050,El Dorado County,"El Dorado County, California",44.48165883,192299,101.8875546,192299,79.74434281,192299,109.3312065,192299,65.26248977,192299,68.39349246,192299,128.1736247,192299,126.4686824,192299
