"FIPS","GeoLevel","NAME","Qualified Area Name","Area (Land)","Area (Water)","Total Population","Population Density (Per Sq. Mile)","Area (Land)"
Geo__geoid_,Geo__geo_level_,Geo_NAME,Geo_qname,Geo_AREALAND,Geo_AREAWATER,SE_A00002_001,SE_A00002_002,SE_A00002_003
"0600135","SL160","Acalanes Ridge CDP, California","Acalanes Ridge CDP, California",1193569,0,1006,2182.9721260351425,0.4608395993709564
"0600156","SL160","Acampo CDP, California","Acampo CDP, California",2428474,0,234,249.5629669211837,0.9376391172409058
"0600212","SL160","Acton CDP, California","Acton CDP, California",101679451,60418,7880,200.72006771465283,39.2586555480957
"0600296","SL160","Adelanto city, California","Adelanto city, California",136923866,41151,37964,718.1093021743873,52.86660385131836
"0600310","SL160","Adin CDP, California","Adin CDP, California",7587701,15858,153,52.225062521617055,2.9296278953552246
"0600394","SL160","Agoura Hills city, California","Agoura Hills city, California",20189517,55687,19721,2529.88496902296,7.795216083526611
"0600450","SL160","Agua Dulce CDP, California","Agua Dulce CDP, California",59181047,14646,2828,123.76404599520282,22.849931716918945
"0600464","SL160","Aguanga CDP, California","Aguanga CDP, California",35222110,0,961,70.66522645439828,13.59933376312256
"0600478","SL160","Ahwahnee CDP, California","Ahwahnee CDP, California",29896182,0,1453,125.87736057086047,11.542981147766112
"0600535","SL160","Airport CDP, California","Airport CDP, California",451729,0,903,5177.35013103716,0.1744135469198227
"0600562","SL160","Alameda city, California","Alameda city, California",27061952,32453610,77238,7392.130643430945,10.448678970336914
"0600618","SL160","Alamo CDP, California","Alamo CDP, California",25422415,0,14488,1476.010251004255,9.81564998626709
"0600674","SL160","Albany city, California","Albany city, California",4636032,9521771,19414,10845.91863345094,1.7899820804595947
"0600716","SL160","Albion CDP, California","Albion CDP, California",4701873,96897,250,137.71044383479176,1.8154033422470093
"0600786","SL160","Alderpoint CDP, California","Alderpoint CDP, California",6288254,0,71,29.243274757209953,2.4279086589813232
"0600884","SL160","Alhambra city, California","Alhambra city, California",19764463,1730,81022,10617.33862731481,7.631102561950684
"0600898","SL160","Alhambra Valley CDP, California","Alhambra Valley CDP, California",4181518,0,979,606.382218994398,1.6144932508468628
"0600947","SL160","Aliso Viejo city, California","Aliso Viejo city, California",17937313,0,51113,7380.261522117362,6.92563533782959
"0600982","SL160","Alleghany CDP, California","Alleghany CDP, California",904298,0,19,54.41764870670487,0.3491514325141907
"0600996","SL160","Allendale CDP, California","Allendale CDP, California",15892908,164542,1734,282.5813410419447,6.13628625869751
"0601010","SL160","Allensworth CDP, California","Allensworth CDP, California",8035085,0,413,133.12429596187656,3.1023638248443604
"0601094","SL160","Almanor CDP, California","Almanor CDP, California",2287751,0,0,0,0.8833056092262268
"0601150","SL160","Alondra Park CDP, California","Alondra Park CDP, California",2861316,93791,8373,7579.019704014103,1.1047602891921997
"0601164","SL160","Alpaugh CDP, California","Alpaugh CDP, California",1082836,0,859,2054.6044661854025,0.41808533668518066
"0601192","SL160","Alpine CDP, California","Alpine CDP, California",69374324,1475,15180,566.7229286219049,26.78557586669922
"0601228","SL160","Alpine Village CDP, California","Alpine Village CDP, California",10569744,0,210,51.45795982464176,4.081001281738281
"0601276","SL160","Alta CDP, California","Alta CDP, California",6173301,17423,656,275.22263411417646,2.3835248947143555
"0601290","SL160","Altadena CDP, California","Altadena CDP, California",21925894,40734,41705,4926.387509459987,8.465635299682617
"0601358","SL160","Alta Sierra CDP (Kern County), California","Alta Sierra CDP (Kern County), California",2631092,1178,12,11.812531199621484,1.0158703327178955
"0601360","SL160","Alta Sierra CDP (Nevada County), California","Alta Sierra CDP (Nevada County), California",21551268,53117,7361,884.6301532390347,8.320991516113281
"0601416","SL160","Alto CDP, California","Alto CDP, California",325686,0,1024,8143.266258631253,0.12574806809425354
"0601444","SL160","Alturas city, California","Alturas city, California",7345639,46987,2681,945.2898606535596,2.836167097091675
"0601458","SL160","Alum Rock CDP, California","Alum Rock CDP, California",2250531,0,10440,12014.708635960453,0.8689349293708801
"0601514","SL160","Amador City city, California","Amador City city, California",801747,0,174,562.094941900363,0.309556245803833
"0601518","SL160","Amador Pines CDP, California","Amador Pines CDP, California",12561595,0,890,183.50292110820325,4.8500590324401855
"0601640","SL160","American Canyon city, California","American Canyon city, California",15763118,102525,21691,3563.9795970300615,6.086174011230469
"0601651","SL160","Amesti CDP, California","Amesti CDP, California",7612130,166652,2818,958.8099685324725,2.9390599727630615
"0602000","SL160","Anaheim city, California","Anaheim city, California",130206498,1567025,344521,6853.001208003661,50.27301025390625
"0602028","SL160","Anchor Bay CDP, California","Anchor Bay CDP, California",9097805,0,771,219.4903940113174,3.5126821994781494
"0602042","SL160","Anderson city, California","Anderson city, California",18210820,466513,11255,1600.7140421060612,7.0312371253967285
"0602112","SL160","Angels city, California","Angels city, California",9407811,12740,3716,1023.0217911178586,3.632376194000244
"0602168","SL160","Angwin CDP, California","Angwin CDP, California",12507052,108688,2931,606.9579627905075,4.828999996185303
"0602210","SL160","Antelope CDP, California","Antelope CDP, California",17705728,0,48301,7065.454027466637,6.8362202644348145
"0602252","SL160","Antioch city, California","Antioch city, California",75552859,1995937,116477,3992.8872673452697,29.17112159729004
"0602294","SL160","Anza CDP, California","Anza CDP, California",71470883,212166,1898,68.7804210188723,27.595062255859375
"0602364","SL160","Apple Valley town, California","Apple Valley town, California",199444691,182413,75473,980.0921138644576,77.00602722167969
"0602378","SL160","Aptos CDP, California","Aptos CDP, California",17037116,0,6404,973.538159627604,6.578067779541016
"0602382","SL160","Aptos Hills-Larkin Valley CDP, California","Aptos Hills-Larkin Valley CDP, California",23984497,85462,2127,229.68607485122504,9.260465621948242
"0602420","SL160","Arbuckle CDP, California","Arbuckle CDP, California",4559938,0,3093,1756.7854657729026,1.7606019973754885
"0602462","SL160","Arcadia city, California","Arcadia city, California",28300749,540015,55170,5048.970521224507,10.926980018615724
"0602476","SL160","Arcata city, California","Arcata city, California",24399923,5229392,18607,1975.0842164978217,9.42086410522461
"0602553","SL160","Arden-Arcade CDP, California","Arden-Arcade CDP, California",41184189,588891,94994,5973.975375629898,15.901304244995115
"0602700","SL160","Armona CDP, California","Armona CDP, California",5317203,0,3890,1894.8031027874408,2.05298376083374
"0602770","SL160","Arnold CDP, California","Arnold CDP, California",23482385,168745,2482,273.75201753567546,9.06659984588623
"0602812","SL160","Aromas CDP, California","Aromas CDP, California",12263807,27254,3245,685.31011094654,4.735082626342773
"0602868","SL160","Arroyo Grande city, California","Arroyo Grande city, California",15382200,0,18372,3093.3976029443775,5.939100742340088
"0602896","SL160","Artesia city, California","Artesia city, California",4196986,0,15889,9805.207825622474,1.6204653978347778
"0602910","SL160","Artois CDP, California","Artois CDP, California",7458262,0,336,116.68080328978024,2.8796510696411133
"0602924","SL160","Arvin city, California","Arvin city, California",12482061,0,19539,4054.280573757897,4.819350719451904
"0602980","SL160","Ashland CDP, California","Ashland CDP, California",4772238,0,22210,12053.806344340706,1.842571496963501
"0603026","SL160","Aspen Springs CDP, California","Aspen Springs CDP, California",9287926,1964,325,90.62799407890822,3.5860884189605713
"0603064","SL160","Atascadero city, California","Atascadero city, California",67524871,161112,29712,1139.635199859536,26.07150077819824
"0603092","SL160","Atherton town, California","Atherton town, California",12991701,82320,6993,1394.1042234120675,5.016124248504639
"0603162","SL160","Atwater city, California","Atwater city, California",17008587,11735,32162,4897.478485065612,6.567052841186523
