"FIPS","GeoLevel","NAME","Qualified Area Name","Area (Land)","Area (Water)","Median House Value"
Geo__geoid_,Geo__geo_level_,Geo_NAME,Geo_qname,Geo_AREALAND,Geo_AREAWATER,SE_A10036_001
"0600135","SL160","Acalanes Ridge CDP, California","Acalanes Ridge CDP, California",1193569,0,1633100
"0600156","SL160","Acampo CDP, California","Acampo CDP, California",2428474,0,
"0600212","SL160","Acton CDP, California","Acton CDP, California",101679451,60418,733400
"0600296","SL160","Adelanto city, California","Adelanto city, California",136923866,41151,349100
"0600310","SL160","Adin CDP, California","Adin CDP, California",7587701,15858,117300
"0600394","SL160","Agoura Hills city, California","Agoura Hills city, California",20189517,55687,1098000
"0600450","SL160","Agua Dulce CDP, California","Agua Dulce CDP, California",59181047,14646,933400
"0600464","SL160","Aguanga CDP, California","Aguanga CDP, California",35222110,0,718800
"0600478","SL160","Ahwahnee CDP, California","Ahwahnee CDP, California",29896182,0,470400
"0600535","SL160","Airport CDP, California","Airport CDP, California",451729,0,441700
"0600562","SL160","Alameda city, California","Alameda city, California",27061952,32453610,1235700
"0600618","SL160","Alamo CDP, California","Alamo CDP, California",25422415,0,2000001
"0600674","SL160","Albany city, California","Albany city, California",4636032,9521771,1202200
"0600716","SL160","Albion CDP, California","Albion CDP, California",4701873,96897,578100
"0600786","SL160","Alderpoint CDP, California","Alderpoint CDP, California",6288254,0,
"0600884","SL160","Alhambra city, California","Alhambra city, California",19764463,1730,857800
"0600898","SL160","Alhambra Valley CDP, California","Alhambra Valley CDP, California",4181518,0,1249100
"0600947","SL160","Aliso Viejo city, California","Aliso Viejo city, California",17937313,0,917900
"0600982","SL160","Alleghany CDP, California","Alleghany CDP, California",904298,0,
"0600996","SL160","Allendale CDP, California","Allendale CDP, California",15892908,164542,1057600
"0601010","SL160","Allensworth CDP, California","Allensworth CDP, California",8035085,0,80700
"0601094","SL160","Almanor CDP, California","Almanor CDP, California",2287751,0,
"0601150","SL160","Alondra Park CDP, California","Alondra Park CDP, California",2861316,93791,835100
"0601164","SL160","Alpaugh CDP, California","Alpaugh CDP, California",1082836,0,95900
"0601192","SL160","Alpine CDP, California","Alpine CDP, California",69374324,1475,864000
"0601228","SL160","Alpine Village CDP, California","Alpine Village CDP, California",10569744,0,607100
"0601276","SL160","Alta CDP, California","Alta CDP, California",6173301,17423,470000
"0601290","SL160","Altadena CDP, California","Altadena CDP, California",21925894,40734,1120000
"0601358","SL160","Alta Sierra CDP (Kern County), California","Alta Sierra CDP (Kern County), California",2631092,1178,
"0601360","SL160","Alta Sierra CDP (Nevada County), California","Alta Sierra CDP (Nevada County), California",21551268,53117,563700
"0601416","SL160","Alto CDP, California","Alto CDP, California",325686,0,
"0601444","SL160","Alturas city, California","Alturas city, California",7345639,46987,170100
"0601458","SL160","Alum Rock CDP, California","Alum Rock CDP, California",2250531,0,909500
"0601514","SL160","Amador City city, California","Amador City city, California",801747,0,440900
"0601518","SL160","Amador Pines CDP, California","Amador Pines CDP, California",12561595,0,413800
"0601640","SL160","American Canyon city, California","American Canyon city, California",15763118,102525,692600
"0601651","SL160","Amesti CDP, California","Amesti CDP, California",7612130,166652,879400
"0602000","SL160","Anaheim city, California","Anaheim city, California",130206498,1567025,831200
"0602028","SL160","Anchor Bay CDP, California","Anchor Bay CDP, California",9097805,0,1605500
"0602042","SL160","Anderson city, California","Anderson city, California",18210820,466513,283000
"0602112","SL160","Angels city, California","Angels city, California",9407811,12740,484800
"0602168","SL160","Angwin CDP, California","Angwin CDP, California",12507052,108688,708100
"0602210","SL160","Antelope CDP, California","Antelope CDP, California",17705728,0,489800
"0602252","SL160","Antioch city, California","Antioch city, California",75552859,1995937,629700
"0602294","SL160","Anza CDP, California","Anza CDP, California",71470883,212166,346600
"0602364","SL160","Apple Valley town, California","Apple Valley town, California",199444691,182413,407400
"0602378","SL160","Aptos CDP, California","Aptos CDP, California",17037116,0,1093300
"0602382","SL160","Aptos Hills-Larkin Valley CDP, California","Aptos Hills-Larkin Valley CDP, California",23984497,85462,1185000
"0602420","SL160","Arbuckle CDP, California","Arbuckle CDP, California",4559938,0,394100
"0602462","SL160","Arcadia city, California","Arcadia city, California",28300749,540015,1441800
"0602476","SL160","Arcata city, California","Arcata city, California",24399923,5229392,484600
"0602553","SL160","Arden-Arcade CDP, California","Arden-Arcade CDP, California",41184189,588891,560200
"0602700","SL160","Armona CDP, California","Armona CDP, California",5317203,0,284100
"0602770","SL160","Arnold CDP, California","Arnold CDP, California",23482385,168745,485700
"0602812","SL160","Aromas CDP, California","Aromas CDP, California",12263807,27254,863500
"0602868","SL160","Arroyo Grande city, California","Arroyo Grande city, California",15382200,0,814200
"0602896","SL160","Artesia city, California","Artesia city, California",4196986,0,776600
"0602910","SL160","Artois CDP, California","Artois CDP, California",7458262,0,196500
"0602924","SL160","Arvin city, California","Arvin city, California",12482061,0,262700
"0602980","SL160","Ashland CDP, California","Ashland CDP, California",4772238,0,775800
"0603026","SL160","Aspen Springs CDP, California","Aspen Springs CDP, California",9287926,1964,
"0603064","SL160","Atascadero city, California","Atascadero city, California",67524871,161112,716500
"0603092","SL160","Atherton town, California","Atherton town, California",12991701,82320,2000001
"0603162","SL160","Atwater city, California","Atwater city, California",17008587,11735,363400
"0603190","SL160","Auberry CDP, California","Auberry CDP, California",120251753,1032543,375300
"0603204","SL160","Auburn city, California","Auburn city, California",18588528,71271,672500
"0603205","SL160","Auburn Lake Trails CDP, California","Auburn Lake Trails CDP, California",32963739,56719,560300
"0603209","SL160","August CDP, California","August CDP, California",3252575,0,296100
"0603274","SL160","Avalon city, California","Avalon city, California",7473920,12351270,936000
"0603302","SL160","Avenal city, California","Avenal city, California",50459974,0,228900
"0603316","SL160","Avery CDP, California","Avery CDP, California",5449102,47866,458100
"0603330","SL160","Avila Beach CDP, California","Avila Beach CDP, California",15766061,575455,1243300
"0603344","SL160","Avocado Heights CDP, California","Avocado Heights CDP, California",5829186,6069,725000
"0603386","SL160","Azusa city, California","Azusa city, California",25022011,32168,641400
"0603512","SL160","Baker CDP, California","Baker CDP, California",6961528,0,
"0603526","SL160","Bakersfield city, California","Bakersfield city, California",387916575,3792006,371700
"0603546","SL160","Bakersfield Country Club CDP, California","Bakersfield Country Club CDP, California",1963093,0,396800
"0603666","SL160","Baldwin Park city, California","Baldwin Park city, California",17176937,400379,606900
"0603694","SL160","Ballard CDP, California","Ballard CDP, California",7236936,13445,1742200
"0603708","SL160","Ballico CDP, California","Ballico CDP, California",7828206,0,522100
"0603792","SL160","Bangor CDP, California","Bangor CDP, California",34765044,0,378400
"0603820","SL160","Banning city, California","Banning city, California",60183802,0,352100
"0604030","SL160","Barstow city, California","Barstow city, California",106964252,112301,245000
"0604198","SL160","Bass Lake CDP, California","Bass Lake CDP, California",4874800,1570518,
"0604415","SL160","Bay Point CDP, California","Bay Point CDP, California",16643645,2637541,525000
"0604470","SL160","Bayview CDP (Contra Costa County), California","Bayview CDP (Contra Costa County), California",789227,209670,654900
"0604478","SL160","Bayview CDP (Humboldt County), California","Bayview CDP (Humboldt County), California",1895402,0,416400
"0604549","SL160","Baywood Park CDP, California","Baywood Park CDP, California",1421591,0,2000001
"0604576","SL160","Beale AFB CDP, California","Beale AFB CDP, California",26139571,25614,
"0604632","SL160","Bear Creek CDP, California","Bear Creek CDP, California",148411,0,
"0604716","SL160","Bear Valley CDP (Alpine County), California","Bear Valley CDP (Alpine County), California",13352822,56384,470000
"0604730","SL160","Bear Valley CDP (Mariposa County), California","Bear Valley CDP (Mariposa County), California",6318984,3006,584800
"0604734","SL160","Bear Valley Springs CDP, California","Bear Valley Springs CDP, California",100685639,173880,496200
"0604758","SL160","Beaumont city, California","Beaumont city, California",78521803,35531,503500
"0604772","SL160","Beckwourth CDP, California","Beckwourth CDP, California",30257790,13194,378700
"0604856","SL160","Belden CDP, California","Belden CDP, California",1578657,299647,
"0604870","SL160","Bell city, California","Bell city, California",6495837,307162,591600
"0604926","SL160","Bella Vista CDP, California","Bella Vista CDP, California",68485004,508710,464300
"0604938","SL160","Bell Canyon CDP, California","Bell Canyon CDP, California",9428673,0,2000001
"0604982","SL160","Bellflower city, California","Bellflower city, California",15843604,130870,705700
"0604996","SL160","Bell Gardens city, California","Bell Gardens city, California",6368687,14400,563900
"0605108","SL160","Belmont city, California","Belmont city, California",11990538,23653,2000001
"0605164","SL160","Belvedere city, California","Belvedere city, California",1345174,4888515,2000001
"0605262","SL160","Benbow CDP, California","Benbow CDP, California",12641980,0,293100
"0605276","SL160","Bend CDP, California","Bend CDP, California",7548202,663196,461500
"0605290","SL160","Benicia city, California","Benicia city, California",33185400,3386032,810000
"0605332","SL160","Ben Lomond CDP, California","Ben Lomond CDP, California",21674901,0,960700
"0605346","SL160","Benton CDP, California","Benton CDP, California",73732744,52423,267300
"0605356","SL160","Benton Park CDP, California","Benton Park CDP, California",1942378,0,240600
"0606000","SL160","Berkeley city, California","Berkeley city, California",27018309,18712737,1413900
"0606028","SL160","Bermuda Dunes CDP, California","Bermuda Dunes CDP, California",7633069,0,596300
"0606070","SL160","Berry Creek CDP, California","Berry Creek CDP, California",147940054,154403,249200
"0606150","SL160","Bertsch-Oceanview CDP, California","Bertsch-Oceanview CDP, California",13727497,708911,191300
"0606210","SL160","Bethel Island CDP, California","Bethel Island CDP, California",13599678,1468013,682700
"0606308","SL160","Beverly Hills city, California","Beverly Hills city, California",14783449,2279,2000001
"0606336","SL160","Bieber CDP, California","Bieber CDP, California",8944480,148149,142600
"0606406","SL160","Big Bear City CDP, California","Big Bear City CDP, California",82917622,44975,463500
"0606434","SL160","Big Bear Lake city, California","Big Bear Lake city, California",16164304,474774,576700
"0606475","SL160","Big Bend CDP, California","Big Bend CDP, California",14852515,230960,
"0606518","SL160","Big Creek CDP, California","Big Creek CDP, California",1191495,0,361800
"0606560","SL160","Biggs city, California","Biggs city, California",2317099,0,328400
"0606567","SL160","Big Lagoon CDP, California","Big Lagoon CDP, California",1573136,0,628800
"0606616","SL160","Big Pine CDP, California","Big Pine CDP, California",7636605,4831,307600
"0606635","SL160","Big River CDP, California","Big River CDP, California",28050915,1344398,126200
"0606728","SL160","Biola CDP, California","Biola CDP, California",1675805,0,246100
"0606798","SL160","Bishop city, California","Bishop city, California",4827233,122068,386400
